year,mstat,depx,state_soi,plateau,phasein,phaseout,maxagi,plateau_state,phasein_state,phaseout_state,state_name,state_fips,ratein,rateout
2002,1,2,1,4140,10400,13500,33100,0,0,0,ALABAMA,1,.39807692,.2112245
2002,1,3,1,4140,10400,13500,33100,0,0,0,ALABAMA,1,.39807692,.2112245
1984,1,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
1981,1,2,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1993,2,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
2006,2,3,1,4536,11400,16800,38300,0,0,0,ALABAMA,1,.39789474,.21097675
2008,1,1,1,2917,8600,15700,33900,0,0,0,ALABAMA,1,.33918604,.16027473
2015,2,2,1,5548,13900,23600,49900,0,0,0,ALABAMA,1,.39913669,.21095057
1989,1,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
1981,2,2,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1990,2,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
1989,2,2,1,910,6500,10200,19300,0,0,0,ALABAMA,1,.14,.1
2004,2,3,1,4300,10800,15000,35400,0,0,0,ALABAMA,1,.39814815,.21078432
1997,2,1,1,2210,6500,11900,25700,0,0,0,ALABAMA,1,.34,.16014493
2020,2,3,1,6660,14800,25200,56800,0,0,0,ALABAMA,1,.44999999,.21075949
1994,1,0,1,306,4000,5000,8900,0,0,0,ALABAMA,1,.076499999,.078461535
2019,1,2,1,5828,14600,19000,46700,0,0,0,ALABAMA,1,.39917809,.21039711
2010,2,3,1,5666,12600,21400,48300,0,0,0,ALABAMA,1,.44968253,.21063197
2018,2,1,1,3461,10200,24300,46000,0,0,0,ALABAMA,1,.33931372,.15949309
2007,2,2,1,4716,11800,17300,39700,0,0,0,ALABAMA,1,.399661,.21053572
1995,2,1,1,2094,6200,11300,24400,0,0,0,ALABAMA,1,.33774194,.15984733
1983,2,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
2015,1,2,1,5548,13900,18100,44400,0,0,0,ALABAMA,1,.39913669,.21095057
2018,1,2,1,5716,14300,18600,45800,0,0,0,ALABAMA,1,.39972028,.21014705
2004,1,1,1,2604,7700,14000,30300,0,0,0,ALABAMA,1,.33818182,.1597546
2010,1,0,1,457,6000,7400,13400,0,0,0,ALABAMA,1,.076166667,.076166667
2012,2,1,1,3169,9400,22300,42100,0,0,0,ALABAMA,1,.33712766,.16005051
2011,1,2,1,5112,12800,16600,40900,0,0,0,ALABAMA,1,.39937499,.21037038
2003,2,1,1,2547,7500,14700,30600,0,0,0,ALABAMA,1,.3396,.16018867
1995,1,2,1,3110,8700,11200,26600,0,0,0,ALABAMA,1,.35747126,.20194805
1993,2,2,1,1511,7800,12200,23000,0,0,0,ALABAMA,1,.19371794,.1399074
2008,1,3,1,4824,12100,15700,38600,0,0,0,ALABAMA,1,.39867768,.21065502
